"number_severe_crashes"	"number_slight_crashes"	"total_traffic"	"dens_pop"	"perc_lav"
6	20	2036.87301587302	0.00330660527227074	0.663985701519214
0	0	1443.74343434343	5.84165119241193e-05	0.739430543572045
0	4	1443.74343434343	5.84165119241193e-05	0.739430543572045
0	2	8516.51587301588	0.000924578911952461	0.652329749103943
0	0	6908.875	0.00565021839309889	0.406894429055094
0	1	6908.875	0.00565021839309889	0.406894429055094
0	0	2134.80068542569	0.000969641470105257	0.766507177033493
0	0	2134.80068542569	0.000969641470105257	0.766507177033493
0	0	6908.875	0.00565021839309889	0.406894429055094
0	0	6908.875	0.00565021839309889	0.406894429055094
0	3	6908.875	0.00565021839309889	0.406894429055094
1	3	6908.875	0.00565021839309889	0.406894429055094
2	8	1033.26587301587	0.00100896110633628	0.696969696969697
0	2	1033.26587301587	0.00100896110633628	0.696969696969697
8	37	1939.15692640693	0.00126259910177238	0.696823869104909
5	22	1939.15692640693	0.00126259910177238	0.696823869104909
0	2	8516.51587301588	0.000924578911952461	0.652329749103943
0	11	770.924206349206	0.00398903775481544	0.635666347075743
8	16	2002.86078643579	0.000416876703890923	0.742695570216777
7	11	2002.86078643579	0.000416876703890923	0.742695570216777
0	0	6908.875	0.00565021839309889	0.406894429055094
0	0	3661.9384920635	0.000920167119478798	0.715454545454545
0	2	3661.9384920635	0.000920167119478798	0.715454545454545
4	16	1674.13055555556	0.00182452000942736	0.742935278030994
1	3	1674.13055555556	0.00182452000942736	0.742935278030994
0	1	6908.875	0.00565021839309889	0.406894429055094
2	4	1198.65992063492	0.00121927673680999	0.731617647058823
6	9	1198.65992063492	0.00121927673680999	0.731617647058823
6	85	1656.34682539683	0.00292838593637486	0.819569743233865
6	28	1656.34682539683	0.00292838593637486	0.819569743233865
0	3	1206.75952380952	0.000437043687868475	0.777586206896552
0	0	1206.75952380952	0.000437043687868475	0.777586206896552
40	180	3763.07103174604	0.00428874132614465	0.497492020063839
15	125	3763.07103174604	0.00428874132614465	0.497492020063839
9	20	3374.3437950938	0.000130251664812712	0.713961407491487
3	12	751.850396825396	0.00224046234868012	0.755102040816326
0	1	1857.85634920635	0.00363689599186311	0.738224637681159
0	0	1615.21785714286	0.00340129258455368	0.753194888178914
5	32	4147.32774170274	0.000121276663410479	0.689061154177433
3	11	4147.32774170274	0.000121276663410479	0.689061154177433
3	14	4124.93950216452	8.11606006033002e-05	0.718929254302103
1	8	8516.51587301588	0.000924578911952461	0.652329749103943
0	12	8516.51587301588	0.000924578911952461	0.652329749103943
0	6	4067.75198412698	0.00166545533437909	0.682459677419355
0	1	4067.75198412698	0.00166545533437909	0.682459677419355
1	6	17296.9825396826	0.00292652162738802	0.879964695498676
0	0	1987.29044011544	0.000148882393015258	0.596808510638298
0	0	1987.29044011544	0.000148882393015258	0.596808510638298
4	6	3374.3437950938	0.000202182119989991	0.680542986425339
1	11	3374.3437950938	0.000202182119989991	0.680542986425339
0	2	5790.62896825397	0.0015814259527618	0.651423641069888
1	5	5790.62896825397	0.0015814259527618	0.651423641069888
5	9	3036.07961760462	0.00104188905867529	0.761648745519713
1	11	3036.07961760462	0.00104188905867529	0.761648745519713
7	13	1150.84007936508	0.0016758302436774	0.79443447037702
8	40	1150.84007936508	0.0016758302436774	0.79443447037702
